Category	GeneSet	N_genes	N_overlap	p	adjP	genes
DEG.down	23_yrs	1216	8	0.908530767333888	1	ENSG00000117448:ENSG00000119772:ENSG00000132964:ENSG00000115129:ENSG00000008300:ENSG00000188536:ENSG00000118507:ENSG00000137338
DEG.down	30_yrs	2078	20	0.547360104521507	1	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000178053:ENSG00000197894:ENSG00000196911:ENSG00000119772:ENSG00000092969:ENSG00000114302:ENSG00000139684:ENSG00000149187:ENSG00000168300:ENSG00000132964:ENSG00000127337:ENSG00000110367:ENSG00000188536:ENSG00000173276:ENSG00000106261:ENSG00000118507:ENSG00000137338
DEG.down	36_yrs	1623	8	0.990814739461505	1	ENSG00000117448:ENSG00000119772:ENSG00000104064:ENSG00000188322:ENSG00000132964:ENSG00000127337:ENSG00000118507:ENSG00000177352
DEG.down	37_yrs	913	2	0.998839648020819	1	ENSG00000119772:ENSG00000118507
DEG.down	40_yrs	1160	11	0.573200655049429	1	ENSG00000130147:ENSG00000134910:ENSG00000122729:ENSG00000119772:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000149187:ENSG00000132964:ENSG00000008300:ENSG00000118507
DEG.twoside	8_pcw	4943	34	0.993528206134825	1	ENSG00000197894:ENSG00000138587:ENSG00000125967:ENSG00000197157:ENSG00000134910:ENSG00000108262:ENSG00000103174:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000104064:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000140474:ENSG00000124562:ENSG00000160917:ENSG00000123607:ENSG00000075461:ENSG00000132964:ENSG00000115129:ENSG00000134769:ENSG00000102908:ENSG00000127337:ENSG00000118777:ENSG00000110367:ENSG00000188536:ENSG00000088387:ENSG00000196502:ENSG00000116353:ENSG00000146005:ENSG00000146386:ENSG00000177352:ENSG00000167702
DEG.twoside	9_pcw	4356	37	0.840486274352924	1	ENSG00000130147:ENSG00000197894:ENSG00000164031:ENSG00000125967:ENSG00000197157:ENSG00000134910:ENSG00000103174:ENSG00000119772:ENSG00000104064:ENSG00000092969:ENSG00000114302:ENSG00000188322:ENSG00000157106:ENSG00000185104:ENSG00000123607:ENSG00000075461:ENSG00000132964:ENSG00000134769:ENSG00000102908:ENSG00000127337:ENSG00000008300:ENSG00000118777:ENSG00000110367:ENSG00000050438:ENSG00000188536:ENSG00000173276:ENSG00000088387:ENSG00000141627:ENSG00000196502:ENSG00000106261:ENSG00000116353:ENSG00000134253:ENSG00000186812:ENSG00000177352:ENSG00000103489:ENSG00000244115:ENSG00000167702
DEG.twoside	12_pcw	4651	44	0.599469962674576	1	ENSG00000115145:ENSG00000155100:ENSG00000171862:ENSG00000197894:ENSG00000170921:ENSG00000165458:ENSG00000125967:ENSG00000196911:ENSG00000111275:ENSG00000103174:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000104064:ENSG00000114302:ENSG00000154930:ENSG00000188322:ENSG00000112685:ENSG00000111860:ENSG00000075461:ENSG00000149187:ENSG00000132964:ENSG00000145819:ENSG00000134769:ENSG00000127337:ENSG00000008300:ENSG00000118777:ENSG00000110367:ENSG00000078269:ENSG00000188536:ENSG00000171724:ENSG00000141627:ENSG00000130529:ENSG00000131791:ENSG00000196502:ENSG00000106261:ENSG00000162496:ENSG00000116353:ENSG00000118298:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000167702
DEG.twoside	13_pcw	4043	37	0.679206954888536	1	ENSG00000164031:ENSG00000170921:ENSG00000165458:ENSG00000125967:ENSG00000197157:ENSG00000196911:ENSG00000106853:ENSG00000103174:ENSG00000117448:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000154930:ENSG00000188322:ENSG00000157106:ENSG00000112685:ENSG00000075461:ENSG00000132964:ENSG00000134769:ENSG00000008300:ENSG00000118777:ENSG00000110367:ENSG00000078269:ENSG00000188536:ENSG00000171724:ENSG00000141627:ENSG00000196502:ENSG00000162496:ENSG00000116353:ENSG00000133687:ENSG00000083123:ENSG00000118298:ENSG00000146386:ENSG00000137338:ENSG00000177352:ENSG00000244115:ENSG00000167702
DEG.twoside	16_pcw	2695	30	0.233025727140325	1	ENSG00000164031:ENSG00000170921:ENSG00000125967:ENSG00000106853:ENSG00000103174:ENSG00000119711:ENSG00000119772:ENSG00000161647:ENSG00000114302:ENSG00000154930:ENSG00000188322:ENSG00000157106:ENSG00000155886:ENSG00000075461:ENSG00000149187:ENSG00000145819:ENSG00000134769:ENSG00000008300:ENSG00000118777:ENSG00000110367:ENSG00000188536:ENSG00000107623:ENSG00000131791:ENSG00000196502:ENSG00000106261:ENSG00000130988:ENSG00000083123:ENSG00000118507:ENSG00000137338:ENSG00000244115
